County,Positive Cases,Date
Greene,2,2020-03-16
Putnam,2,2020-03-16
Allegany,2,2020-03-16
Broome,1,2020-03-16
Delaware,1,2020-03-16
Herkimer,1,2020-03-16
Tioga,1,2020-03-16
Tompkins,1,2020-03-16
Montgomery,1,2020-03-16
Onondaga,1,2020-03-16
Ontario,1,2020-03-16
New York City,463,2020-03-16
Albany,23,2020-03-17
Allegany,2,2020-03-17
Broome,1,2020-03-17
Clinton,1,2020-03-17
Delaware,1,2020-03-17
Dutchess,16,2020-03-17
Erie,7,2020-03-17
Greene,2,2020-03-17
Herkimer,1,2020-03-17
Monroe,10,2020-03-17
Montgomery,1,2020-03-17
Nassau,131,2020-03-17
Onondaga,2,2020-03-17
Ontario,1,2020-03-17
Orange,15,2020-03-17
Putnam,2,2020-03-17
Rensselaer,1,2020-03-17
Rockland,22,2020-03-17
Saratoga,9,2020-03-17
Schenectady,5,2020-03-17
Suffolk,84,2020-03-17
Sullivan,1,2020-03-17
Tioga,1,2020-03-17
Tompkins,2,2020-03-17
Ulster,8,2020-03-17
Westchester,380,2020-03-17
Wyoming,1,2020-03-17
New York City,644,2020-03-17
Albany,36,2020-03-18
Allegany,2,2020-03-18
Broome,1,2020-03-18
Chenango,1,2020-03-18
Clinton,1,2020-03-18
Delaware,1,2020-03-18
Dutchess,20,2020-03-18
Erie,7,2020-03-18
Essex,1,2020-03-18
Greene,2,2020-03-18
Hamilton,1,2020-03-18
Herkimer,1,2020-03-18
Monroe,14,2020-03-18
Montgomery,2,2020-03-18
Nassau,183,2020-03-18
New York City,1339,2020-03-18
Onondaga,2,2020-03-18
Ontario,1,2020-03-18
Orange,32,2020-03-18
Putnam,2,2020-03-18
Rensselaer,4,2020-03-18
Rockland,30,2020-03-18
Saratoga,14,2020-03-18
Schenectady,14,2020-03-18
Suffolk,116,2020-03-18
Sullivan,1,2020-03-18
Tioga,1,2020-03-18
Tompkins,3,2020-03-18
Ulster,9,2020-03-18
Warren,1,2020-03-18
Washington,1,2020-03-18
Westchester,538,2020-03-18
Wyoming,1,2020-03-18
Albany,43,2020-03-19
Allegany,2,2020-03-19
Broome,2,2020-03-19
Chenango,2,2020-03-19
Clinton,2,2020-03-19
Delaware,1,2020-03-19
Dutchess,31,2020-03-19
Erie,28,2020-03-19
Essex,1,2020-03-19
Fulton,1,2020-03-19
Genesee,1,2020-03-19
Greene,2,2020-03-19
Hamilton,2,2020-03-19
Herkimer,1,2020-03-19
Jefferson,1,2020-03-19
Monroe,27,2020-03-19
Montgomery,2,2020-03-19
Nassau,372,2020-03-19
Niagara,1,2020-03-19
New York City,2469,2020-03-19
Oneida,2,2020-03-19
Onondaga,5,2020-03-19
Ontario,1,2020-03-19
Orange,51,2020-03-19
Putnam,5,2020-03-19
Rensselaer,6,2020-03-19
Rockland,53,2020-03-19
Saratoga,18,2020-03-19
Schenectady,18,2020-03-19
Schoharie,1,2020-03-19
Suffolk,178,2020-03-19
Sullivan,3,2020-03-19
Tioga,1,2020-03-19
Tompkins,6,2020-03-19
Ulster,10,2020-03-19
Warren,1,2020-03-19
Washington,1,2020-03-19
Wayne,1,2020-03-19
Westchester,798,2020-03-19
Wyoming,2,2020-03-19
